year,model,price,mileage,color,transmission
2008,SE,11450.0,85229,Red,MANUAL
2009,SES,10995.0,42834,Red,AUTO
2005,SES,10995.0,69415,Blue,AUTO
2009,SEL,10995.0,78264,Gray,AUTO
2009,SE,10979.0,60709,Red,AUTO
2008,SE,10955.0,39643,Gray,AUTO
2009,SE,10955.0,40180,Gold,AUTO
2008,SE,10836.0,40330,Green,MANUAL
2007,SES,10815.0,77231,Red,AUTO
2007,SE,10770.0,72937,Silver,MANUAL
2010,SE,10717.0,64199,Black,AUTO
2007,SES,10000.0,63926,Red,AUTO
2007,SES,9999.0,74427,Silver,AUTO
2007,SES,9999.0,78948,Black,MANUAL
2006,SE,9995.0,51311,Silver,AUTO
2008,SE,9995.0,95364,White,AUTO
2008,SE,9992.0,74109,White,AUTO
2007,SE,9651.0,63296,Blue,AUTO
2007,SES,9000.0,80605,Red,AUTO
2006,SE,8999.0,49656,Silver,AUTO
2007,SE,8996.0,48652,Silver,MANUAL
2006,SE,8800.0,71331,White,AUTO
2008,SE,8495.0,106171,Black,AUTO
2008,SE,8494.0,68901,Silver,AUTO
2009,SE,8480.0,70036,White,MANUAL
2007,SES,7999.0,81596,Yellow,MANUAL
2006,SES,7995.0,35000,Black,MANUAL
2006,SES,7995.0,97987,Red,AUTO
2003,SES,7900.0,96000,White,AUTO
2005,SES,7488.0,59013,Red,AUTO
2004,SE,6999.0,105714,Silver,AUTO
2007,SE,6995.0,86862,White,AUTO
2000,SE,6980.0,60161,Green,AUTO
2004,SES,6980.0,101130,Gray,AUTO
2004,SES,6950.0,119720,Black,AUTO
2006,SES,6200.0,95000,Silver,AUTO
2002,SE,5995.0,87003,Red,AUTO
2000,SE,5980.0,96841,Red,AUTO
2001,SE,4899.0,151479,Yellow,AUTO
2000,SE,3800.0,109259,Red,AUTO
2010,SES,13127.793548387097,16035,Red,MANUAL
2005,SES,8488.0,36323,Red,AUTO
2004,SE,13127.793548387097,36323,Silver,AUTO
